id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
745691,SD82593844,002W15 58 53N50 31,276,37,"4.886,186",350,0.6,1.7,5.9,3.4,0.8,2.9,5,1.5,1,1.1,2.2,5,5.1,3.7,4.4,7.5,6.6,3.4,1.8,0.8,1.2,3.4,2.2,0.3,2.8,8.3,5.3,2.7,2.7,4.2,10,3.3,1,3.9,1.9,0,53.841893,-2.266074
745692,NT25265908,003W11 40 55N49 09,248,44,"1.000,000",0,0,0,0.2,0.8,1.2,2.2,3,5,7,9,12,15,18,20,20,20,20,20,20,20,20,20,20,20,18,15,12,9,7,5,3,2.2,1.2,0.8,0.2,0,55.819142,-3.194377
745693,SH87777799,003W41 06 53N17 13,125,32,"0.600,000",300,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,53.286941,-3.684982
745694,NY53103132,002W43 44 54N40 29,263,48,"4.000,000",210,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,54.674729,-2.728805
745695,TL12549126,000W20 36 52N30 27,56,133,"4.886,186",325,1.4,0.9,1.8,2.7,3,2.8,2.5,3.8,6.9,5,4.4,3.7,4.8,7,5.6,4,5.1,7.9,6.8,6.7,6,5.6,2.5,2.1,3.7,5.1,2.4,0.3,0,0.5,3.1,3.3,2.3,2.1,2.3,3.1,52.507615,-0.343282
745696,TL24982566,000W11 03 51N54 56,133,28,"1.199,999",270,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,51.915442,-0.184286
745697,NN92305645,003W45 35 56N41 14,401,37,"1.000,000",130,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,56.687307,-3.759852
745698,SX53085554,004W04 04 50N22 53,113,35,"1.954,474",345,0.4,0.4,0.3,0.7,1.2,2.4,3.4,5.7,7.7,7.4,8.9,11,14.4,16.4,14.1,14.3,15.6,12.9,12.6,11,10.3,8.8,7.4,4.9,2.5,4.5,2.2,0.4,0.3,0.4,0.1,0,0.4,0.9,1,0.7,50.381346,-4.067802
745699,NZ14785270,001W46 16 54N52 08,302,123,"7.639,941",,3.3,3.7,2.8,1.2,1.5,2.9,4.9,4.4,3.7,4.2,4.8,2.9,0.8,0.8,2,4,3.6,2.7,2.9,3.6,2.2,0.4,0.5,1.6,3.5,2.8,1.7,2.6,3.1,1.9,0.1,0,1.2,3.7,3.7,2.7,54.868838,-1.771233
745700,ST28479906,003W02 10 51N41 09,250,36,"0.500,000",20,0.6,0.3,0,0.3,0.6,0.9,1.4,2.2,3,4.9,7,9.5,12,14.4,16.4,18.4,20,20,20,20,20,20,20,20,20,18.4,16.4,14.4,12,9.5,7,4.9,3,2.2,1.4,0.9,51.685712,-3.036095
745701,SZ03729218,001W56 55 50N43 45,64,52,"1.954,474",0,2.2,1.9,1.8,1.1,0.4,0,0,0.1,0.6,1.5,2.6,4.3,6.6,9.1,11.8,12.9,12.6,12.5,13,13.8,13.4,10.4,6.7,4.3,2.9,1.6,1.2,0.6,0.3,0.3,0.5,0.6,0.8,1.3,1.9,2.1,50.729221,-1.948658
745702,NR33984521,006W13 39 55N37 39,93,19,"1.000,000",30,0.8,0,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,55.627446,-6.227617
745703,SC20606780,004W44 37 54N04 29,69,44,"0.400,000",50,2,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,54.074773,-4.743515
745704,SN17203067,004W39 40 51N56 40,323,206,"5.000,000",110,1,0,0.3,0.8,2.2,3,1.6,1.7,3,1.5,1,1,1,1.5,3,1.7,1.6,3,2.3,0.8,0.3,0,1,3,4.6,7,13.3,26,17,17,17,26,15,7.1,4.8,2.6,51.944404,-4.661027
745705,ST61027640,002W33 46 51N29 07,91,55,"1.000,000",200,27,29,28,29,28,22,16,12,9,7,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,11,15,20,51.48519,-2.562764
745706,TL89516949,000E46 38 52N17 27,69,51,"2.000,000",270,0.9,1.7,2.8,3.9,5,5.8,6.4,6.7,6.8,6.7,6.7,6.6,6.3,5.8,4.9,3.8,2.7,1.6,0.8,0.3,0,0.1,0.2,0.4,0.6,0.8,1.1,1.1,1,0.8,0.6,0.3,0.1,0.1,0,0.3,52.290839,0.777315
745707,SJ98761455,002W01 11 52N43 43,234,84,"1.750,000",330,0.7,1.4,2.3,3.5,5.1,7.3,9.9,13,16.5,19.8,22.1,25.8,36.3,35.4,38,28.7,25.9,24.8,22.3,24.7,25,18.6,15.4,12.3,9.7,7.4,5.5,3.9,2.6,1.6,0.8,0.3,0.1,0,0.1,0.3,52.728576,-2.0198
745708,SK332419,001W30 25 52N58 24,125,60,"2.999,998",10,0.2,0,0.1,0.5,1,1.5,1.8,2,2.3,2.2,2,1.7,1.3,0.8,0.3,0,0,0,0,1,2,3,5,6.8,8,8.3,8.5,8.6,8.4,8.4,8,6.6,5.2,3,2,1,52.973416,-1.507057
745709,SC45209341,004W22 52 54N18 46,134,16,"0.200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.312725,-4.381093
745710,NJ94270253,002W05 46 57N06 49,87,41,"1.199,999",350,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,57.113656,-2.096244
745711,SW69033944,005W14 19 50N12 35,237,139,"1.954,474",240,1.1,1.3,1.1,1.1,2.6,1.2,0.1,1.3,2.1,1.1,0,1.3,1.5,2.9,4.7,8.7,13,17,14,12.5,9.6,5.7,3.5,2.3,0.7,1.3,2.7,7.5,10.8,12.3,16.7,18.2,12.1,7.3,3.7,1.5,50.209786,-5.238489
745712,TQ25645213,000W12 04 51N15 16,234,51,"0.954,993",315,3.5,3.8,3.1,1.9,1.8,1.9,1.9,4.1,8.5,13,13.6,12.7,11.4,9.7,9.2,8.4,8.8,10.1,9.2,4.4,1.6,0.6,0.9,1,1.3,3,3.8,2.8,2.8,3.4,1.4,0,1.1,3.4,2.6,3,51.254494,-0.200986
745713,SN84110611,003W40 48 51N44 30,409,38,"0.600,000",84,8.3,8.2,6.1,3.6,1.9,1,0.8,0.5,0.4,0.3,0.4,0.5,1.2,3.3,7.8,4.7,1.7,2.5,6,5.2,2.5,1.1,0.4,0,0.1,0.3,0.7,1.1,1.6,2.6,4.2,7,11.3,10.6,8.5,8.1,51.741661,-3.679878
745714,SS990938,003W27 39 51N38 02,316,52,"1.000,000",70,0,0,0.2,0.7,1.5,1.9,2,2,1.9,1.1,0.4,0.1,0,0.3,0.9,1.5,2.2,3.1,4.6,7.6,9,9.5,11.5,14.9,18.7,22.3,19.3,11.4,9.6,8,5.4,3.6,2.6,1.4,0.9,0.6,51.633901,-3.460735
745715,SJ26613178,003W05 31 52N52 42,305,27,"0.250,000",100,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,52.878444,-3.091941
745716,SO12740430,003W15 54 51N43 50,419,41,"1.000,000",80,1.2,1.3,1.1,0.3,0.1,0,0.3,0.9,1.2,1.6,1.8,1.5,1.1,0.7,0.8,1.2,1.7,2.5,3.6,5,6.2,7.4,10.2,10.7,12,14.4,20.9,22.6,18.6,12.5,10.2,9.3,7.5,4,3.1,2.3,51.730587,-3.264891
745717,SO63033336,002W32 24 51N59 51,204,127,"10.000,000",,0.6,0.5,2.4,4.2,2.5,1.3,2.8,2.9,1,0.3,0.6,1.9,4.1,1.9,1.4,3.2,3.1,0.8,0,0.3,1.8,3.9,2.8,1.6,3.9,3.7,2.1,1.2,1.6,3.5,4.2,2.2,1.8,3.6,3.3,1.2,51.997433,-2.53989
745718,NY97402200,002W02 30 54N35 35,352,32,"1.000,000",40,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,0,0,54.593159,-2.041753
745719,NS25848119,004W47 38 55N59 31,107,84,"1.800,002",90,2.4,2.7,2.2,0.7,0,0.2,1.1,3.1,2.1,0.5,1.7,2.5,1.2,0.7,0.7,1.2,2.5,1.6,0.4,2,3,1.1,0.2,0,0.8,2.4,2.8,2.5,5.5,9.6,7.3,6.4,6.5,7.4,9.5,5.4,55.991937,-4.793795
745720,NS12506907,004W59 56 55N52 41,166,42,"1.000,000",130,12.5,9.8,6.8,4.8,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,1.6,1.7,1.4,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,55.878164,-4.998928
745721,SZ44588653,001W22 14 50N40 36,143,89,"5.000,000",340,2.1,1.5,0.8,0.4,0,0.2,1.1,2.3,4.4,6.5,7.6,11.2,16.1,16.8,20.1,32.6,26.6,27.2,28,20.4,19.1,15.9,11.1,8.8,6.2,4.5,3.2,1.5,0.6,0.3,0.5,1.2,1.9,2.4,2.5,2.5,50.676724,-1.370435
745722,ND19783854,003W22 17 58N19 41,221,156,"10.000,000",,1.8,1.8,3.3,1,0.2,0.5,0.1,1.1,3.4,1.8,1.9,3.4,1,0.1,0.4,0.1,1,3.4,1.8,1.8,3.4,1,0.1,0.4,0.1,1.1,3.4,1.7,1.7,3.3,1,0.1,0.4,0,1,3.3,58.328006,-3.371413
745723,TQ90441986,000E42 35 50N56 48,44,18,"0.200,000",,0.5,1.3,2.4,4,5.7,7.8,9.8,11.6,12.6,13.1,13.3,13.1,12.8,11.5,10,7.9,5.8,4,2.5,1.3,0.4,0.1,0.1,0,0.2,0.5,0.8,1,1.1,1.1,0.8,0.6,0.3,0.1,0,0.1,50.946708,0.709647
745724,SD98730499,002W01 14 53N32 30,347,45,"0.600,000",15,0,0.3,0.4,0.3,0.4,1,3,3.9,2.9,8.2,7.5,5.2,10.7,3.6,2.9,3.3,1.5,0.2,0,0.2,0.4,0.3,0.4,1,2.9,3.9,2.8,8.8,6.6,5.2,10.9,3.5,2.8,3.3,1.5,0.2,53.541535,-2.020635
745725,SU13642852,001W48 24 51N03 21,107,43,"2.000,000",,2.3,1.9,1.8,0.8,0,0.9,2,2.6,2.9,3.4,3.5,4.9,4.8,4.3,3.8,3.9,4.5,5.2,4.1,3.4,3.9,2.7,2.3,1.8,1.4,1.1,2.1,2.1,2,2.1,1.2,0.7,1.6,1.4,1.3,1.9,51.055855,-1.806762
745726,SP33217963,001W30 47 52N24 49,91,58,"0.500,000",90,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,52.413654,-1.513171
745727,NY26673995,003W08 27 54N44 57,363,104,"9.549,926",25,3.4,1.7,0.6,0.3,1.4,3.9,3.1,1.4,2.3,3.7,1.9,0.4,0.4,1.6,4.4,3.3,1.7,2.3,3.9,2.5,0.2,0,0.4,3,2.6,0.9,1.6,3.3,1.7,0.2,0.1,0.7,3.3,2.8,0.8,1.9,54.749109,-3.14076
745728,TL20474944,000W14 29 52N07 48,54,167,"4.886,186",315,2,4.1,4.9,1.8,0.6,1,1.2,2.3,7.1,11.8,7.8,8,10.7,11,12,10.3,7.1,6.2,8.8,4.7,2,0.1,0,1.1,2.4,3.9,2,1,1.9,3,0.8,0.4,1.7,3.7,3.9,1.4,52.130132,-0.241462
745729,HU39843975,001W17 04 60N08 25,72,32,"0.100,000",110,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,60.140298,-1.284513
745730,SE88160912,000W40 13 53N34 17,42,47,"0.600,000",90,1,0.7,0.3,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,53.57127,-0.670181
745731,SO92279444,002W06 56 52N32 52,225,32,"0.006,000",,1.6,1.8,2,2.7,5,8.3,8.5,8.9,16.2,15.7,8.4,5.9,6.2,5.2,3,1.5,0.7,0.2,0,0.3,0.9,1.8,1,0.1,3.7,6.4,0.2,4,8,1.1,0.3,0.5,0.9,1.1,1.2,1.3,52.547739,-2.115424
745732,NT50062941,002W47 36 55N33 21,290,167,"9.772,372",,1.9,3.3,4,1.7,0.2,0.1,1,2.6,2,0.4,2,2.9,1.1,0.3,0.6,1.9,3.3,2.2,0.9,2.8,4,2,0.6,0.6,1.9,3.7,2.1,0.6,2.5,3.3,1.2,0,0.3,2.3,4.3,3.4,55.555786,-2.793221
745733,NS455597,004W28 00 55N48 21,230,33,"1.000,000",,1,1,2,2,0.7,0,0.7,2,2,1,1,2,2,2.7,2.2,1.3,3,3,4,8,10.4,12.8,16,20,20,13.3,9.8,7.1,4.7,3,4.5,1,2.2,2.7,2,2,55.80577,-4.466669
745734,TL57243929,000E17 26 52N01 47,120,50,"1.000,000",,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,52.029722,0.290628
745735,ST86892511,002W11 18 51N01 31,244,32,"2.000,000",270,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,51.025199,-2.188304
745736,SK32448706,001W30 50 53N22 46,247,39,"4.000,000",,3,3,1,1,3,2,0,0,1,3,2,1,1,2,2,0,0,1,3,3,1,1,3,2,0,0,1,3,2,1,1,3,2,0,0,1,53.379385,-1.513809
745737,SK48971863,001W16 33 52N45 47,91,40,"0.060,000",70,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,52.763046,-1.275729
745738,NU19090809,001W42 01 55N21 59,171,30,"0.950,001",90,3,2.4,1.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1.7,2.5,3.3,4.7,6.9,9.6,12.7,16.2,20,26,26,26,26,26,20,16.2,12.7,9.6,6.9,4.7,55.366418,-1.700379
745739,SY13658791,003W13 25 50N41 04,112,24,"0.100,000",290,5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,50.684407,-3.223662
745740,ST66887442,002W28 41 51N28 04,70,25,"0.018,197",260,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,51.467762,-2.478188
745741,TF45636830,000E10 42 53N11 31,60,22,"2.000,000",140,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,53.191837,0.178307
745742,NZ71541923,000W53 43 54N33 48,69,29,"0.300,000",240,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,54.563232,-0.895147
745743,SD90875171,002W08 26 53N57 41,162,37,"1.600,000",180,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,53.961373,-2.140639
745744,NG45124085,006W14 34 57N23 11,390,55,"5.000,000",25,1.7,1.9,2.1,2.1,1.9,1.8,1.2,1,0.4,0.6,0.7,1.3,2.6,4.4,7.4,10.2,8,6.8,6.4,5.4,4.8,4.7,5.6,6.4,6.4,7.3,9.1,6,4.4,3,1.4,0.5,0,0,0.3,0.9,57.38642,-6.24289
745745,SX81614166,003W39 45 50N15 47,98,44,"0.300,000",,0,0.1,0.3,0.4,0.4,0.5,1.7,4,3.3,4.6,14.3,4.1,9.4,6.1,2.8,3.5,2.5,0.5,0,0.1,0.3,0.5,0.4,0.6,1.8,4,3.2,3.8,13.9,4.1,8.5,6,2.7,3.4,2.4,0.6,50.263014,-3.662366
745746,NR83757480,005W27 44 55N55 03,481,28,"5.000,000",93,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,55.91751,-5.462223
745747,TQ87248589,000E41 55 51N32 27,33,40,"0.024,000",,0.1,0,0,0.2,0.6,1.3,2.3,3.7,5.6,7.8,10.3,12.9,15.3,17.3,18.3,18.5,17.6,15.7,13.1,10.3,7.7,5.5,3.7,2.3,1.3,0.6,0.2,0,0,0.1,0.2,0.2,0.3,0.3,0.2,0.2,51.540835,0.698653
745748,TF25362114,000W08 35 52N46 24,3,53,"0.069,000",300,1.3,0.4,0.1,0,0.4,1.2,2.4,3.7,4.7,5.6,5.7,5.7,5.9,5.9,5.8,5.6,4.9,3.8,2.3,1.2,0.4,0,0,0.5,1.2,2.3,3.4,4.5,4.9,5.3,5.3,5.2,5,4.3,3.4,2.2,52.773292,-0.143159
745749,SX00805356,004W48 05 50N20 53,188,49,"0.900,001",100,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,1.6,1.7,1.4,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,12.5,9.8,6.8,4.8,50.348174,-4.801267
745750,SZ14269558,001W47 57 50N45 35,42,44,"0.600,000",,1.1,1.1,0.8,0.6,0.3,0.1,0,0.1,0.5,1.3,2.4,4,5.7,7.8,9.8,11.6,12.6,13.1,13.3,13.1,12.8,11.5,10,7.9,5.8,4,2.5,1.3,0.4,0.1,0.1,0,0.2,0.5,0.8,1,50.759634,-1.799193
745751,SW54213585,005W26 37 50N10 18,18,17,"0.100,000",70,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,50.171587,-5.44349
745752,SJ34829039,002W58 55 53N24 23,10,127,"0.500,000",345,5,4.5,4,3,2,1.2,0.5,0,0,0.5,1.2,2,3,4,4.5,5,5,5,5,4.5,4,3,2,1.2,0.5,0,0,0.5,1.2,2,3,4,4.5,5,5,5,53.406267,-2.981914
745753,SW38273315,005W39 52 50N08 26,199,52,"0.600,000",100,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,50.140528,-5.664396
745754,TQ58243738,000E15 34 51N06 50,144,27,"0.020,000",350,0.4,1.5,3.2,5.7,9.1,13.1,17.7,23.1,28.4,28.6,28.1,27.1,26.8,25.6,22.9,23.6,24.3,24.5,24.5,24.7,27,27.5,28.9,27.5,28.8,28.6,26,23.8,17.1,12.5,8.9,5.8,3.1,1.3,0.3,0,51.11386,0.259324
745755,SW84713418,005W00 58 50N10 06,81,17,"0.500,000",270,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,50.168461,-5.016083
745756,TF01420828,000W30 07 52N39 46,58,32,"0.150,000",160,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,52.662748,-0.501852
745757,SK24586374,001W38 02 53N10 13,305,43,"1.499,999",330,0.6,2.5,7.4,8.7,11.1,10.4,10,10.1,3.8,1.3,1.5,0.3,0,0.4,0.8,1.3,2.6,6.7,7.2,6.7,17.1,10.8,16.8,15.7,12.1,22.4,9.8,9.8,6,2,0.9,0.4,0.1,0,0.5,1.3,53.170195,-1.633756
745758,SO839086,002W14 05 51N46 33,250,32,"1.199,999",180,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,51.775824,-2.234753
745759,ST22240142,003W06 18 50N48 26,227,160,"5.000,000",330,2,2.2,0.3,1.1,1.9,0.7,0,0.7,0.9,2.4,5.1,6.3,7.9,8.7,7.5,8.7,9.6,8.7,8.6,10.5,9.8,8.6,4.6,1.9,0.7,0.3,0.6,1.7,2.9,1.6,1,3.6,1.9,0.4,0.2,0.1,50.807088,-3.104951
745760,SK27549919,001W35 11 53N29 19,301,21,"1.199,999",320,1.2,1.3,1.1,0.9,0.6,0.3,0,0.1,0.1,0.4,1.1,2.2,3.6,5.4,7.2,9,10.1,10.9,11,11.3,11.1,10.8,10.2,8.8,7.2,5.2,3.6,2.2,1.1,0.4,0,0.1,0,0.3,0.7,0.9,53.48869,-1.586409
745761,TG25850266,001E19 54 52N34 29,65,102,"4.886,186",330,0,0.1,0.3,0.9,1.5,2.5,2.8,4.1,9.5,5.6,9.9,6.9,3.3,3,3.1,3.6,6,14.8,6.2,8.6,6.1,4.3,3.1,2.4,1.4,0.4,0.1,0,0.8,1.1,0.7,0.8,0.7,0.6,0.3,0.5,52.574817,1.331664
745762,IH39379479,007W23 19 54N47 58,274,231,"1.600,000",90,16.3,20.8,14.4,9.3,6.1,3.9,2.2,1.2,0.4,0,0,0.3,0.7,1.9,4,6,8.3,12.2,17,16.4,24.7,15.1,10.7,8.5,7.3,6.6,6.1,6.1,6.4,6.4,6.9,9,11.1,12.3,18.1,17.5,54.799414,-7.388644
745763,NX11146325,004W56 56 54N55 41,190,40,"0.800,000",230,8,11.2,14.4,18.1,20,26,26,26,26,20,18.1,14.4,11.2,8,5.8,3.8,2.8,2.1,1.4,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1.4,2.1,2.8,3.8,5.8,54.928074,-4.949004
745764,TL91233764,000E47 05 52N00 15,71,88,"2.399,999",230,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,52.004239,0.784592
745765,SK11350032,001W50 02 52N36 02,169,200,"10.000,000",,0,0.7,2.2,1.8,2.2,2.4,1.1,2.8,1.7,1.7,1.7,0.3,0.1,0.6,2.1,1.7,2.3,2.3,1.2,2.8,1.7,1.8,1.7,0.4,0,0.6,2.1,1.7,2.2,2.4,1.1,2.9,1.7,1.7,1.8,0.3,52.600539,-1.833856
745766,TF84410762,000E43 25 52N38 06,50,105,"4.000,000",,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,52.634975,0.72369
745767,TR33454291,001E20 09 51N08 16,122,113,"1.000,000",300,0,0.1,0.5,1.3,2.4,4,5.7,7.8,9.8,11.6,12.6,13.1,13.3,13.1,12.8,11.5,10,7.9,5.8,4,2.5,1.3,0.4,0.1,0.1,0,0.2,0.5,0.8,1,1.1,1.1,0.8,0.6,0.3,0.1,51.137832,1.335758
745768,TM13059584,001E08 19 52N31 08,64,131,"3.539,729",310,0.82,0.63,0.63,1.11,2.16,2.85,7.74,10.8,10.8,17.1,19.2,15.9,15.4,14.9,15.9,19.2,12.4,10.2,10.8,4.15,2.16,1.21,0.18,0,0.18,0.45,0.72,0.72,0.45,1.21,2.16,1.51,0.54,1.31,1.01,0.92,52.518759,1.138705
745769,ST25072930,003W04 14 51N03 29,130,19,"1.000,000",225,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,51.058123,-3.070536
745770,NO43072843,002W55 30 56N26 40,100,51,"0.600,000",340,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,56.444566,-2.925027
745771,SS10939947,004W44 06 51N39 44,85,14,"0.600,000",50,3.5,1.7,0.6,0.2,0,0.1,0.3,0.9,1.5,2.4,3.8,5.7,8.4,12,14.1,14.7,14.5,14.1,14.8,17.6,14.1,9.4,7.5,6.7,6.3,5.9,5.5,5.1,4.6,4.6,7.1,16.3,8.4,2.2,1.3,3.2,51.662111,-4.735117
745772,TR36616781,001E23 50 51N21 36,49,44,"0.668,495",280,1.8,1.8,3.8,4.8,2.8,1.8,2.6,4.3,6.8,7.3,4.2,3.3,4.3,4.3,2.8,2.4,2.1,2.8,0.2,0.3,2.8,3.5,0.8,0,0.2,0.8,1.7,1.1,0.8,2.8,3.8,2.8,1.8,1.8,1.8,2.8,51.36004,1.397292
745773,SJ62890828,002W33 01 52N40 15,396,48,"4.886,186",,3.7,5.5,4.3,4.9,6.3,3.1,1.3,0.4,1.5,4,5.3,4.3,4.7,6.2,3.6,1.5,0.5,1.3,3.2,5.3,4.5,4.2,5.7,3.4,1.4,0.4,0.9,3.1,5.2,3.8,4.5,5.5,2.8,0.7,0,1.1,52.670935,-2.550228
